age,gender,occupation,education,hometown,marital status,spouse moving status,spouse employment status,security,schooling,house rent,distance from HT,satisfaction
20 - 25,male,Engineering and IT,Engineering,"Rangpur,14",Unmarried,not married,I am not married,1.0,1.0,0.33,0.33,4.0
20 - 25,male,Engineering and IT,Engineering,"Rangpur,14",Unmarried,not married,I am not married,0.66,0.33,0.66,0.33,3.0
26 - 30,prefer not to disclose,Student,Science,"Magura,468",Married,Spouce does not work,Other,1.0,1.0,0.66,1.0,5.0
26 - 30,prefer not to disclose,Student,Science,"Magura,468",Married,Spouce does not work,Other,1.0,0.66,0.33,0.66,4.0
26 - 30,prefer not to disclose,Student,Science,"Magura,468",Married,Spouce does not work,Other,0.33,1.0,0.66,0.66,4.0
31 - 35,prefer not to disclose,Medical,"Medical, Biological, Chemical","Natore,330",Married,Spouce does not work,Science,0.33,0.33,0.33,0.66,3.0
31 - 35,prefer not to disclose,Medical,"Medical, Biological, Chemical","Natore,330",Married,Spouce does not work,Science,1.0,0.33,0.33,1.0,5.0
31 - 35,prefer not to disclose,Medical,"Medical, Biological, Chemical","Natore,330",Married,Spouce does not work,Science,1.0,0.66,0.66,0.66,5.0
36 - 40,prefer not to disclose,Student,Science,"Gopalganj,296",Unmarried,not married,I am not married,0.66,1.0,0.66,0.66,5.0
36 - 40,prefer not to disclose,Student,Science,"Gopalganj,296",Unmarried,not married,I am not married,0.66,0.33,0.33,0.66,3.0
36 - 40,prefer not to disclose,Student,Science,"Gopalganj,296",Unmarried,not married,I am not married,1.0,1.0,0.33,0.66,4.0
36 - 40,prefer not to disclose,Other,Business,"Khagrachhari,221",Married,Spouce does not work,Social,0.66,0.66,0.66,0.66,4.0
36 - 40,prefer not to disclose,Other,Business,"Khagrachhari,221",Married,Spouce does not work,Social,0.66,0.66,1.0,0.33,4.0
36 - 40,prefer not to disclose,Other,Business,"Khagrachhari,221",Married,Spouce does not work,Social,0.33,0.66,1.0,1.0,5.0
36 - 40,female,Medical,"Medical, Biological, Chemical","Rajbari,116",Married,Spouce does not work,Science,0.33,1.0,0.66,0.33,3.0
36 - 40,female,Medical,"Medical, Biological, Chemical","Rajbari,116",Married,Spouce does not work,Science,0.33,1.0,0.66,0.33,3.0
36 - 40,female,Medical,"Medical, Biological, Chemical","Rajbari,116",Married,Spouce does not work,Science,0.66,0.33,1.0,1.0,5.0
20 - 25,female,Other,Science,"Patuakhali,14",Married,Spouce does not work,Science,1.0,0.66,0.66,0.66,5.0
20 - 25,female,Other,Science,"Patuakhali,14",Married,Spouce does not work,Science,0.33,1.0,0.66,1.0,4.0
20 - 25,female,Other,Science,"Patuakhali,14",Married,Spouce does not work,Science,0.66,0.33,1.0,0.66,4.0
41 or above,female,Engineering and IT,Engineering,"Chuadanga,415",Married,Yes,"Medical, Biological, Chemical",0.66,0.66,0.33,0.66,4.0
41 or above,female,Engineering and IT,Engineering,"Chuadanga,415",Married,Yes,"Medical, Biological, Chemical",0.33,0.33,0.33,0.33,2.0
41 or above,female,Engineering and IT,Engineering,"Chuadanga,415",Married,Yes,"Medical, Biological, Chemical",0.33,1.0,0.33,0.33,2.0
20 - 25,male,Academia,Science,"Nilphamari,178",Married,Yes,Other,0.66,0.66,0.66,1.0,5.0
20 - 25,male,Academia,Science,"Nilphamari,178",Married,Yes,Other,1.0,0.33,0.33,1.0,4.0
20 - 25,male,Academia,Science,"Nilphamari,178",Married,Yes,Other,0.66,0.33,1.0,1.0,5.0
41 or above,female,Student,Social,"Narsingdi,214",Married,Spouce does not work,Social,1.0,1.0,0.66,0.66,5.0
41 or above,female,Student,Social,"Narsingdi,214",Married,Spouce does not work,Social,0.33,0.33,1.0,0.33,3.0
41 or above,female,Student,Social,"Narsingdi,214",Married,Spouce does not work,Social,0.33,0.66,0.33,0.33,2.0
26 - 30,male,Business,Science,"Barisal,217",Married,Spouce does not work,"Medical, Biological, Chemical",0.66,0.33,1.0,0.66,4.0
26 - 30,male,Business,Science,"Barisal,217",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,1.0,1.0,1.0,5.0
26 - 30,male,Business,Science,"Barisal,217",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,0.66,0.66,0.33,4.0
20 - 25,female,Medical,"Medical, Biological, Chemical","Munshiganj,403",Married,Yes,Engineering,1.0,0.66,0.66,0.66,5.0
20 - 25,female,Medical,"Medical, Biological, Chemical","Munshiganj,403",Married,Yes,Engineering,0.66,1.0,0.33,1.0,4.0
20 - 25,female,Medical,"Medical, Biological, Chemical","Munshiganj,403",Married,Yes,Engineering,0.33,0.66,1.0,1.0,5.0
41 or above,male,Engineering and IT,Engineering,"Bhola,290",Unmarried,not married,I am not married,1.0,0.33,0.33,0.33,3.0
41 or above,male,Engineering and IT,Engineering,"Bhola,290",Unmarried,not married,I am not married,0.33,1.0,1.0,1.0,5.0
41 or above,male,Engineering and IT,Engineering,"Bhola,290",Unmarried,not married,I am not married,1.0,0.33,1.0,0.33,5.0
36 - 40,female,Business,Business,"Pirojpur,97",Married,Spouce does not work,Science,0.66,0.66,0.66,1.0,4.0
36 - 40,female,Business,Business,"Pirojpur,97",Married,Spouce does not work,Science,0.33,0.66,0.33,1.0,4.0
36 - 40,female,Business,Business,"Pirojpur,97",Married,Spouce does not work,Science,0.66,1.0,0.66,1.0,5.0
20 - 25,female,Other,Social,"Barguna,444",Married,No,Science,0.66,0.33,1.0,0.33,4.0
20 - 25,female,Other,Social,"Barguna,444",Married,No,Science,0.33,1.0,1.0,0.66,4.0
20 - 25,female,Other,Social,"Barguna,444",Married,No,Science,0.33,0.33,0.66,0.66,3.0
36 - 40,female,Other,Business,"Kurigram,403",Married,Spouce does not work,"Medical, Biological, Chemical",0.33,0.33,0.33,1.0,4.0
36 - 40,female,Other,Business,"Kurigram,403",Married,Spouce does not work,"Medical, Biological, Chemical",0.66,0.33,0.33,0.66,4.0
36 - 40,female,Other,Business,"Kurigram,403",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,1.0,0.66,0.66,5.0
20 - 25,male,Academia,Social,"Jhalokati,21",Married,No,Science,0.66,0.33,0.33,1.0,4.0
20 - 25,male,Academia,Social,"Jhalokati,21",Married,No,Science,1.0,1.0,1.0,1.0,5.0
20 - 25,male,Academia,Social,"Jhalokati,21",Married,No,Science,1.0,0.33,1.0,0.33,4.0
20 - 25,prefer not to disclose,Student,Science,"Narsingdi,326",Married,No,Engineering,1.0,0.33,0.33,1.0,5.0
20 - 25,prefer not to disclose,Student,Science,"Narsingdi,326",Married,No,Engineering,0.66,1.0,0.66,0.33,4.0
20 - 25,prefer not to disclose,Student,Science,"Narsingdi,326",Married,No,Engineering,0.66,0.33,0.33,1.0,4.0
41 or above,male,Other,Social,"Chuadanga,309",Unmarried,not married,I am not married,1.0,0.33,0.33,1.0,3.0
41 or above,male,Other,Social,"Chuadanga,309",Unmarried,not married,I am not married,1.0,0.66,0.33,0.66,3.0
41 or above,male,Other,Social,"Chuadanga,309",Unmarried,not married,I am not married,0.66,0.66,0.66,1.0,4.0
20 - 25,prefer not to disclose,Academia,Science,"Manikganj,184",Married,No,Engineering,0.66,0.66,0.33,1.0,4.0
20 - 25,prefer not to disclose,Academia,Science,"Manikganj,184",Married,No,Engineering,1.0,0.33,0.66,1.0,5.0
20 - 25,prefer not to disclose,Academia,Science,"Manikganj,184",Married,No,Engineering,0.66,0.66,0.66,1.0,5.0
31 - 35,male,Engineering and IT,Engineering,"Lalmonirhat,271",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,0.66,1.0,0.33,4.0
31 - 35,male,Engineering and IT,Engineering,"Lalmonirhat,271",Married,Spouce does not work,"Medical, Biological, Chemical",0.66,0.66,0.66,0.66,4.0
31 - 35,male,Engineering and IT,Engineering,"Lalmonirhat,271",Married,Spouce does not work,"Medical, Biological, Chemical",0.66,0.66,0.33,0.66,4.0
31 - 35,female,Other,Social,"Nilphamari,37",Married,Spouce does not work,"Medical, Biological, Chemical",0.33,1.0,1.0,0.33,4.0
31 - 35,female,Other,Social,"Nilphamari,37",Married,Spouce does not work,"Medical, Biological, Chemical",0.33,0.33,1.0,1.0,4.0
31 - 35,female,Other,Social,"Nilphamari,37",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,0.33,0.33,1.0,5.0
41 or above,prefer not to disclose,Engineering and IT,Engineering,"Rangpur,366",Married,No,Other,0.66,1.0,0.66,1.0,5.0
41 or above,prefer not to disclose,Engineering and IT,Engineering,"Rangpur,366",Married,No,Other,0.33,1.0,0.33,0.66,4.0
41 or above,prefer not to disclose,Engineering and IT,Engineering,"Rangpur,366",Married,No,Other,0.33,1.0,0.66,0.33,4.0
36 - 40,female,Other,Business,"Sherpur,399",Unmarried,not married,I am not married,0.33,0.66,1.0,0.66,4.0
36 - 40,female,Other,Business,"Sherpur,399",Unmarried,not married,I am not married,0.66,1.0,0.66,0.66,4.0
36 - 40,female,Other,Business,"Sherpur,399",Unmarried,not married,I am not married,0.33,1.0,0.33,0.33,3.0
20 - 25,prefer not to disclose,Other,Social,"Habiganj,388",Unmarried,not married,I am not married,0.66,0.33,0.33,0.33,3.0
20 - 25,prefer not to disclose,Other,Social,"Habiganj,388",Unmarried,not married,I am not married,0.66,0.33,0.66,0.33,3.0
20 - 25,prefer not to disclose,Other,Social,"Habiganj,388",Unmarried,not married,I am not married,0.33,0.33,0.66,0.33,3.0
36 - 40,prefer not to disclose,Other,Social,"Moulvibazar,192",Unmarried,not married,I am not married,1.0,0.66,0.66,0.33,4.0
36 - 40,prefer not to disclose,Other,Social,"Moulvibazar,192",Unmarried,not married,I am not married,1.0,1.0,0.33,0.33,4.0
36 - 40,prefer not to disclose,Other,Social,"Moulvibazar,192",Unmarried,not married,I am not married,0.66,0.66,1.0,1.0,5.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Munshiganj,7",Married,No,Social,1.0,0.33,0.66,0.33,4.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Munshiganj,7",Married,No,Social,0.66,0.33,1.0,0.33,4.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Munshiganj,7",Married,No,Social,0.66,0.66,0.33,0.33,3.0
41 or above,male,Student,Business,"Bandarban,469",Unmarried,not married,I am not married,1.0,0.66,1.0,0.66,5.0
41 or above,male,Student,Business,"Bandarban,469",Unmarried,not married,I am not married,0.33,1.0,1.0,0.33,5.0
41 or above,male,Student,Business,"Bandarban,469",Unmarried,not married,I am not married,1.0,0.33,0.66,0.66,4.0
31 - 35,prefer not to disclose,Other,Science,"Naogaon,413",Unmarried,not married,I am not married,1.0,0.33,0.33,1.0,3.0
31 - 35,prefer not to disclose,Other,Science,"Naogaon,413",Unmarried,not married,I am not married,0.66,0.66,0.66,0.66,4.0
31 - 35,prefer not to disclose,Other,Science,"Naogaon,413",Unmarried,not married,I am not married,1.0,0.66,0.33,0.33,3.0
36 - 40,male,Other,Science,"Munshiganj,255",Unmarried,not married,I am not married,0.66,0.33,0.66,1.0,4.0
36 - 40,male,Other,Science,"Munshiganj,255",Unmarried,not married,I am not married,1.0,0.66,0.33,1.0,3.0
36 - 40,male,Other,Science,"Munshiganj,255",Unmarried,not married,I am not married,1.0,0.33,1.0,0.66,5.0
26 - 30,male,Academia,Business,"Cox's Bazar,143",Married,Yes,"Medical, Biological, Chemical",0.33,0.33,0.33,1.0,3.0
26 - 30,male,Academia,Business,"Cox's Bazar,143",Married,Yes,"Medical, Biological, Chemical",0.33,0.33,0.33,1.0,4.0
26 - 30,male,Academia,Business,"Cox's Bazar,143",Married,Yes,"Medical, Biological, Chemical",0.66,0.66,0.66,0.66,4.0
36 - 40,prefer not to disclose,Other,Science,"Nilphamari,389",Married,Yes,Engineering,0.33,1.0,0.33,1.0,3.0
36 - 40,prefer not to disclose,Other,Science,"Nilphamari,389",Married,Yes,Engineering,0.33,0.33,1.0,0.33,3.0
36 - 40,prefer not to disclose,Other,Science,"Nilphamari,389",Married,Yes,Engineering,0.66,0.33,0.66,1.0,4.0
36 - 40,female,Academia,Business,"Chandpur,148",Unmarried,not married,I am not married,1.0,0.33,0.66,0.33,4.0
36 - 40,female,Academia,Business,"Chandpur,148",Unmarried,not married,I am not married,1.0,1.0,0.66,0.33,5.0
36 - 40,female,Academia,Business,"Chandpur,148",Unmarried,not married,I am not married,0.66,0.66,0.66,1.0,4.0
36 - 40,male,Engineering and IT,Engineering,"Natore,210",Unmarried,not married,I am not married,0.66,0.33,1.0,0.33,4.0
36 - 40,male,Engineering and IT,Engineering,"Natore,210",Unmarried,not married,I am not married,1.0,0.33,0.33,0.33,3.0
36 - 40,male,Engineering and IT,Engineering,"Natore,210",Unmarried,not married,I am not married,1.0,1.0,0.66,0.66,5.0
26 - 30,female,Engineering and IT,Engineering,"Gopalganj,137",Unmarried,not married,I am not married,1.0,0.66,1.0,0.33,5.0
26 - 30,female,Engineering and IT,Engineering,"Gopalganj,137",Unmarried,not married,I am not married,0.66,0.33,0.33,0.33,3.0
26 - 30,female,Engineering and IT,Engineering,"Gopalganj,137",Unmarried,not married,I am not married,0.33,0.66,1.0,0.66,4.0
36 - 40,male,Engineering and IT,Engineering,"Sunamganj,238",Unmarried,not married,I am not married,1.0,0.33,0.66,0.66,4.0
36 - 40,male,Engineering and IT,Engineering,"Sunamganj,238",Unmarried,not married,I am not married,0.66,1.0,1.0,0.66,5.0
36 - 40,male,Engineering and IT,Engineering,"Sunamganj,238",Unmarried,not married,I am not married,0.33,1.0,1.0,1.0,5.0
26 - 30,prefer not to disclose,Academia,Science,"Sunamganj,65",Unmarried,not married,I am not married,0.66,0.33,1.0,0.33,5.0
26 - 30,prefer not to disclose,Academia,Science,"Sunamganj,65",Unmarried,not married,I am not married,0.66,0.33,0.66,0.33,3.0
26 - 30,prefer not to disclose,Academia,Science,"Sunamganj,65",Unmarried,not married,I am not married,0.66,1.0,1.0,0.66,5.0
31 - 35,female,Other,Social,"Naogaon,341",Unmarried,not married,I am not married,1.0,0.33,1.0,0.33,4.0
31 - 35,female,Other,Social,"Naogaon,341",Unmarried,not married,I am not married,0.33,0.33,1.0,0.33,4.0
31 - 35,female,Other,Social,"Naogaon,341",Unmarried,not married,I am not married,0.33,0.33,0.33,0.33,2.0
36 - 40,prefer not to disclose,Academia,Science,"Tangail,107",Unmarried,not married,I am not married,1.0,0.66,0.66,1.0,5.0
36 - 40,prefer not to disclose,Academia,Science,"Tangail,107",Unmarried,not married,I am not married,0.66,1.0,1.0,1.0,5.0
36 - 40,prefer not to disclose,Academia,Science,"Tangail,107",Unmarried,not married,I am not married,0.66,0.33,1.0,0.66,4.0
41 or above,male,Academia,Science,"Gazipur,60",Married,Spouce does not work,Other,1.0,1.0,0.33,0.66,4.0
41 or above,male,Academia,Science,"Gazipur,60",Married,Spouce does not work,Other,0.66,0.66,1.0,0.33,4.0
41 or above,male,Academia,Science,"Gazipur,60",Married,Spouce does not work,Other,0.33,0.33,0.33,1.0,3.0
31 - 35,female,Other,Business,"Jessore,488",Unmarried,not married,I am not married,0.66,1.0,0.33,0.33,4.0
31 - 35,female,Other,Business,"Jessore,488",Unmarried,not married,I am not married,0.33,1.0,0.33,0.66,3.0
31 - 35,female,Other,Business,"Jessore,488",Unmarried,not married,I am not married,0.33,0.66,0.66,1.0,4.0
20 - 25,female,Medical,"Medical, Biological, Chemical","Dinajpur,55",Married,Yes,Science,0.66,0.66,0.66,0.66,4.0
20 - 25,female,Medical,"Medical, Biological, Chemical","Dinajpur,55",Married,Yes,Science,1.0,1.0,1.0,1.0,5.0
20 - 25,female,Medical,"Medical, Biological, Chemical","Dinajpur,55",Married,Yes,Science,0.66,1.0,0.66,1.0,4.0
31 - 35,female,Academia,Business,"Noakhali,105",Unmarried,not married,I am not married,0.66,0.66,0.66,0.66,4.0
31 - 35,female,Academia,Business,"Noakhali,105",Unmarried,not married,I am not married,1.0,0.66,0.33,0.33,4.0
31 - 35,female,Academia,Business,"Noakhali,105",Unmarried,not married,I am not married,1.0,0.66,0.66,0.66,4.0
26 - 30,male,Student,Business,"Sirajganj,71",Unmarried,not married,I am not married,1.0,1.0,0.66,0.33,4.0
26 - 30,male,Student,Business,"Sirajganj,71",Unmarried,not married,I am not married,0.33,1.0,0.66,0.33,4.0
26 - 30,male,Student,Business,"Sirajganj,71",Unmarried,not married,I am not married,0.66,1.0,1.0,0.66,5.0
41 or above,female,Academia,Business,"Gopalganj,26",Unmarried,not married,I am not married,0.66,0.33,0.66,0.66,3.0
41 or above,female,Academia,Business,"Gopalganj,26",Unmarried,not married,I am not married,0.33,0.33,1.0,0.33,4.0
41 or above,female,Academia,Business,"Gopalganj,26",Unmarried,not married,I am not married,0.33,0.33,0.33,0.66,3.0
31 - 35,female,Student,Social,"Netrokona,186",Married,Yes,Engineering,0.66,0.66,1.0,1.0,5.0
31 - 35,female,Student,Social,"Netrokona,186",Married,Yes,Engineering,0.66,0.66,1.0,0.33,4.0
31 - 35,female,Student,Social,"Netrokona,186",Married,Yes,Engineering,1.0,1.0,0.33,0.33,4.0
36 - 40,male,Business,Social,"Faridpur,412",Married,Yes,Social,1.0,1.0,0.66,0.33,4.0
36 - 40,male,Business,Social,"Faridpur,412",Married,Yes,Social,1.0,0.66,0.33,0.66,4.0
36 - 40,male,Business,Social,"Faridpur,412",Married,Yes,Social,1.0,0.66,1.0,0.33,4.0
31 - 35,prefer not to disclose,Academia,Business,"Pabna,17",Married,Yes,Business,0.66,0.66,0.33,1.0,4.0
31 - 35,prefer not to disclose,Academia,Business,"Pabna,17",Married,Yes,Business,0.66,0.66,1.0,1.0,5.0
31 - 35,prefer not to disclose,Academia,Business,"Pabna,17",Married,Yes,Business,0.33,0.33,0.33,0.66,3.0
41 or above,male,Other,Science,"Cox's Bazar,317",Married,No,Science,0.33,1.0,0.66,0.66,4.0
41 or above,male,Other,Science,"Cox's Bazar,317",Married,No,Science,1.0,0.66,1.0,1.0,5.0
41 or above,male,Other,Science,"Cox's Bazar,317",Married,No,Science,0.33,1.0,1.0,1.0,5.0
20 - 25,male,Academia,Social,"Bhola,311",Married,Yes,Other,0.66,0.66,1.0,1.0,5.0
20 - 25,male,Academia,Social,"Bhola,311",Married,Yes,Other,1.0,1.0,1.0,1.0,5.0
20 - 25,male,Academia,Social,"Bhola,311",Married,Yes,Other,1.0,1.0,0.33,0.66,4.0
20 - 25,male,Other,Business,"Panchagarh,34",Married,Spouce does not work,Other,1.0,1.0,0.33,1.0,5.0
20 - 25,male,Other,Business,"Panchagarh,34",Married,Spouce does not work,Other,1.0,0.66,1.0,1.0,5.0
20 - 25,male,Other,Business,"Panchagarh,34",Married,Spouce does not work,Other,0.66,0.33,0.66,0.66,4.0
36 - 40,male,Engineering and IT,Engineering,"Sherpur,196",Married,Spouce does not work,Other,0.66,0.33,0.66,0.66,4.0
36 - 40,male,Engineering and IT,Engineering,"Sherpur,196",Married,Spouce does not work,Other,0.33,1.0,1.0,0.66,5.0
36 - 40,male,Engineering and IT,Engineering,"Sherpur,196",Married,Spouce does not work,Other,0.66,0.33,0.66,0.66,4.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Moulvibazar,423",Unmarried,not married,I am not married,0.66,0.33,1.0,1.0,4.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Moulvibazar,423",Unmarried,not married,I am not married,0.33,0.66,0.66,0.33,4.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Moulvibazar,423",Unmarried,not married,I am not married,0.66,0.33,0.33,0.66,2.0
31 - 35,prefer not to disclose,Business,Business,"Jamalpur,236",Unmarried,not married,I am not married,1.0,1.0,0.33,0.66,4.0
31 - 35,prefer not to disclose,Business,Business,"Jamalpur,236",Unmarried,not married,I am not married,0.33,0.66,0.66,0.66,4.0
31 - 35,prefer not to disclose,Business,Business,"Jamalpur,236",Unmarried,not married,I am not married,0.66,0.66,0.66,1.0,4.0
36 - 40,male,Other,Social,"Chuadanga,330",Married,Yes,Business,1.0,0.33,1.0,0.33,4.0
36 - 40,male,Other,Social,"Chuadanga,330",Married,Yes,Business,0.66,0.33,1.0,0.66,4.0
36 - 40,male,Other,Social,"Chuadanga,330",Married,Yes,Business,0.33,0.66,0.66,0.33,3.0
36 - 40,prefer not to disclose,Academia,Science,"Rajbari,238",Unmarried,not married,I am not married,1.0,1.0,0.33,0.33,4.0
36 - 40,prefer not to disclose,Academia,Science,"Rajbari,238",Unmarried,not married,I am not married,0.66,0.66,0.66,1.0,4.0
36 - 40,prefer not to disclose,Academia,Science,"Rajbari,238",Unmarried,not married,I am not married,1.0,1.0,0.66,1.0,5.0
26 - 30,female,Engineering and IT,Engineering,"Thakurgaon,181",Unmarried,not married,I am not married,1.0,1.0,0.33,0.66,4.0
26 - 30,female,Engineering and IT,Engineering,"Thakurgaon,181",Unmarried,not married,I am not married,1.0,0.33,0.66,0.33,4.0
26 - 30,female,Engineering and IT,Engineering,"Thakurgaon,181",Unmarried,not married,I am not married,1.0,0.66,0.66,0.66,4.0
