age,gender,occupation,education,hometown,marital status,spouse moving status,spouse employment status,security,schooling,house rent,distance from HT,satisfaction
31 - 35,prefer not to disclose,Business,Business,"Netrokona,344",Unmarried,not married,I am not married,1.0,0.33,1.0,0.33,4.0
36 - 40,prefer not to disclose,Other,Science,"Gaibandha,111",Unmarried,not married,I am not married,0.33,0.33,0.66,1.0,3.0
36 - 40,prefer not to disclose,Other,Science,"Gaibandha,111",Unmarried,not married,I am not married,0.33,0.66,0.66,1.0,4.0
36 - 40,prefer not to disclose,Other,Science,"Gaibandha,111",Unmarried,not married,I am not married,1.0,0.33,1.0,0.33,4.0
36 - 40,prefer not to disclose,Other,Business,"Jamalpur,167",Married,Yes,"Medical, Biological, Chemical",0.33,0.66,0.66,0.33,3.0
36 - 40,prefer not to disclose,Other,Business,"Jamalpur,167",Married,Yes,"Medical, Biological, Chemical",1.0,1.0,0.33,1.0,5.0
36 - 40,prefer not to disclose,Other,Business,"Jamalpur,167",Married,Yes,"Medical, Biological, Chemical",0.66,0.33,1.0,0.66,4.0
20 - 25,male,Engineering and IT,Engineering,"Habiganj,396",Married,No,Science,0.33,0.33,0.33,0.66,3.0
20 - 25,male,Engineering and IT,Engineering,"Habiganj,396",Married,No,Science,0.66,1.0,1.0,0.66,5.0
20 - 25,male,Engineering and IT,Engineering,"Habiganj,396",Married,No,Science,1.0,1.0,0.66,1.0,5.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Bogra,60",Married,No,Other,0.66,0.33,1.0,0.66,4.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Bogra,60",Married,No,Other,0.66,1.0,0.33,1.0,5.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Bogra,60",Married,No,Other,0.33,1.0,0.33,0.66,4.0
31 - 35,male,Business,Social,"Sirajganj,83",Unmarried,not married,I am not married,1.0,1.0,0.66,0.33,5.0
31 - 35,male,Business,Social,"Sirajganj,83",Unmarried,not married,I am not married,1.0,1.0,1.0,0.66,5.0
31 - 35,male,Business,Social,"Sirajganj,83",Unmarried,not married,I am not married,0.33,0.66,0.66,0.33,4.0
41 or above,prefer not to disclose,Other,Social,"Pirojpur,268",Unmarried,not married,I am not married,1.0,0.66,0.33,1.0,4.0
41 or above,prefer not to disclose,Other,Social,"Pirojpur,268",Unmarried,not married,I am not married,0.66,0.33,0.33,1.0,3.0
41 or above,prefer not to disclose,Other,Social,"Pirojpur,268",Unmarried,not married,I am not married,0.33,1.0,0.66,0.66,4.0
36 - 40,female,Student,Social,"Narsingdi,119",Unmarried,not married,I am not married,0.66,0.66,0.33,0.33,3.0
36 - 40,female,Student,Social,"Narsingdi,119",Unmarried,not married,I am not married,1.0,0.33,1.0,0.33,5.0
36 - 40,female,Student,Social,"Narsingdi,119",Unmarried,not married,I am not married,1.0,1.0,0.66,0.66,5.0
36 - 40,female,Engineering and IT,Engineering,"Naogaon,131",Unmarried,not married,I am not married,1.0,1.0,0.66,0.33,5.0
36 - 40,female,Engineering and IT,Engineering,"Naogaon,131",Unmarried,not married,I am not married,0.66,1.0,0.33,0.33,4.0
36 - 40,female,Engineering and IT,Engineering,"Naogaon,131",Unmarried,not married,I am not married,1.0,1.0,0.33,0.66,4.0
36 - 40,female,Medical,"Medical, Biological, Chemical","Gaibandha,273",Unmarried,not married,I am not married,0.66,0.66,0.33,0.66,3.0
36 - 40,female,Medical,"Medical, Biological, Chemical","Gaibandha,273",Unmarried,not married,I am not married,1.0,1.0,0.66,1.0,5.0
36 - 40,female,Medical,"Medical, Biological, Chemical","Gaibandha,273",Unmarried,not married,I am not married,0.66,0.33,0.33,0.33,3.0
41 or above,male,Other,Science,"Nilphamari,364",Unmarried,not married,I am not married,0.33,0.33,1.0,1.0,4.0
41 or above,male,Other,Science,"Nilphamari,364",Unmarried,not married,I am not married,1.0,1.0,0.33,1.0,4.0
41 or above,male,Other,Science,"Nilphamari,364",Unmarried,not married,I am not married,1.0,1.0,0.66,0.33,5.0
26 - 30,prefer not to disclose,Medical,"Medical, Biological, Chemical","Sunamganj,345",Unmarried,not married,I am not married,0.33,0.66,1.0,0.33,4.0
26 - 30,prefer not to disclose,Medical,"Medical, Biological, Chemical","Sunamganj,345",Unmarried,not married,I am not married,0.33,0.66,1.0,0.33,4.0
26 - 30,prefer not to disclose,Medical,"Medical, Biological, Chemical","Sunamganj,345",Unmarried,not married,I am not married,1.0,1.0,1.0,0.66,5.0
26 - 30,male,Other,Science,"Gopalganj,178",Married,No,Engineering,0.33,1.0,1.0,1.0,5.0
26 - 30,male,Other,Science,"Gopalganj,178",Married,No,Engineering,0.33,0.33,1.0,0.33,3.0
26 - 30,male,Other,Science,"Gopalganj,178",Married,No,Engineering,0.66,0.33,1.0,0.33,4.0
26 - 30,female,Medical,"Medical, Biological, Chemical","Munshiganj,323",Unmarried,not married,I am not married,0.33,1.0,0.66,0.66,4.0
26 - 30,female,Medical,"Medical, Biological, Chemical","Munshiganj,323",Unmarried,not married,I am not married,0.33,0.33,0.33,0.33,2.0
26 - 30,female,Medical,"Medical, Biological, Chemical","Munshiganj,323",Unmarried,not married,I am not married,0.33,0.66,0.66,0.66,3.0
31 - 35,prefer not to disclose,Student,Social,"Bhola,339",Unmarried,not married,I am not married,0.33,1.0,1.0,0.33,5.0
31 - 35,prefer not to disclose,Student,Social,"Bhola,339",Unmarried,not married,I am not married,0.66,0.66,0.66,0.33,4.0
31 - 35,prefer not to disclose,Student,Social,"Bhola,339",Unmarried,not married,I am not married,0.66,0.33,0.33,0.66,3.0
26 - 30,prefer not to disclose,Engineering and IT,Engineering,"Bandarban,385",Married,No,Social,1.0,1.0,0.33,1.0,5.0
26 - 30,prefer not to disclose,Engineering and IT,Engineering,"Bandarban,385",Married,No,Social,1.0,0.33,0.66,1.0,5.0
26 - 30,prefer not to disclose,Engineering and IT,Engineering,"Bandarban,385",Married,No,Social,0.33,1.0,0.33,1.0,3.0
20 - 25,prefer not to disclose,Academia,Social,"Dinajpur,120",Married,Spouce does not work,Business,0.33,0.66,1.0,1.0,4.0
20 - 25,prefer not to disclose,Academia,Social,"Dinajpur,120",Married,Spouce does not work,Business,0.33,0.33,0.66,0.33,3.0
20 - 25,prefer not to disclose,Academia,Social,"Dinajpur,120",Married,Spouce does not work,Business,0.33,0.66,0.66,0.33,3.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Feni,23",Unmarried,not married,I am not married,1.0,0.33,0.66,1.0,4.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Feni,23",Unmarried,not married,I am not married,0.33,0.66,1.0,0.66,5.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Feni,23",Unmarried,not married,I am not married,0.66,0.33,0.66,0.66,4.0
20 - 25,female,Business,Social,"Kurigram,138",Unmarried,not married,I am not married,1.0,0.33,0.33,1.0,4.0
20 - 25,female,Business,Social,"Kurigram,138",Unmarried,not married,I am not married,0.33,0.33,0.33,0.66,2.0
20 - 25,female,Business,Social,"Kurigram,138",Unmarried,not married,I am not married,1.0,1.0,0.66,1.0,5.0
26 - 30,female,Student,Social,"Chuadanga,337",Married,Spouce does not work,Engineering,0.66,0.66,1.0,0.66,5.0
26 - 30,female,Student,Social,"Chuadanga,337",Married,Spouce does not work,Engineering,0.33,0.66,0.33,1.0,4.0
26 - 30,female,Student,Social,"Chuadanga,337",Married,Spouce does not work,Engineering,0.33,1.0,0.66,0.66,4.0
31 - 35,female,Student,Business,"Bagerhat,28",Married,No,Business,1.0,0.33,1.0,1.0,5.0
31 - 35,female,Student,Business,"Bagerhat,28",Married,No,Business,0.33,0.66,0.66,1.0,4.0
31 - 35,female,Student,Business,"Bagerhat,28",Married,No,Business,0.33,0.66,0.33,0.66,3.0
20 - 25,male,Business,Business,"Bandarban,216",Married,No,Other,0.66,0.33,0.33,0.66,3.0
20 - 25,male,Business,Business,"Bandarban,216",Married,No,Other,0.33,1.0,0.33,0.33,3.0
20 - 25,male,Business,Business,"Bandarban,216",Married,No,Other,0.33,1.0,0.66,1.0,5.0
41 or above,prefer not to disclose,Student,Science,"Madaripur,380",Unmarried,not married,I am not married,0.66,0.66,0.33,0.66,3.0
41 or above,prefer not to disclose,Student,Science,"Madaripur,380",Unmarried,not married,I am not married,1.0,0.66,0.33,1.0,3.0
41 or above,prefer not to disclose,Student,Science,"Madaripur,380",Unmarried,not married,I am not married,1.0,1.0,0.66,0.66,5.0
36 - 40,prefer not to disclose,Academia,Business,"Chittagong,64",Unmarried,not married,I am not married,0.66,0.33,1.0,1.0,5.0
36 - 40,prefer not to disclose,Academia,Business,"Chittagong,64",Unmarried,not married,I am not married,0.33,0.66,1.0,0.33,5.0
36 - 40,prefer not to disclose,Academia,Business,"Chittagong,64",Unmarried,not married,I am not married,0.66,0.33,1.0,1.0,4.0
36 - 40,female,Business,Business,"Narayanganj,43",Unmarried,not married,I am not married,1.0,0.66,1.0,0.33,5.0
36 - 40,female,Business,Business,"Narayanganj,43",Unmarried,not married,I am not married,0.66,1.0,0.66,0.33,4.0
36 - 40,female,Business,Business,"Narayanganj,43",Unmarried,not married,I am not married,1.0,1.0,0.66,1.0,5.0
31 - 35,male,Academia,Social,"Jamalpur,361",Married,Yes,Business,1.0,1.0,0.66,0.33,4.0
31 - 35,male,Academia,Social,"Jamalpur,361",Married,Yes,Business,1.0,0.33,0.66,0.33,3.0
31 - 35,male,Academia,Social,"Jamalpur,361",Married,Yes,Business,0.66,1.0,0.66,0.33,4.0
41 or above,prefer not to disclose,Medical,"Medical, Biological, Chemical","Kurigram,280",Unmarried,not married,I am not married,0.33,0.66,1.0,1.0,5.0
41 or above,prefer not to disclose,Medical,"Medical, Biological, Chemical","Kurigram,280",Unmarried,not married,I am not married,1.0,0.33,0.66,0.33,4.0
41 or above,prefer not to disclose,Medical,"Medical, Biological, Chemical","Kurigram,280",Unmarried,not married,I am not married,0.66,0.66,0.66,0.66,4.0
31 - 35,female,Academia,Social,"Bhola,283",Unmarried,not married,I am not married,0.33,0.33,0.66,0.33,3.0
31 - 35,female,Academia,Social,"Bhola,283",Unmarried,not married,I am not married,0.33,0.66,0.33,0.66,3.0
31 - 35,female,Academia,Social,"Bhola,283",Unmarried,not married,I am not married,1.0,0.33,0.33,0.66,3.0
36 - 40,female,Academia,Business,"Narayanganj,261",Unmarried,not married,I am not married,1.0,1.0,1.0,0.66,5.0
36 - 40,female,Academia,Business,"Narayanganj,261",Unmarried,not married,I am not married,0.33,1.0,1.0,0.33,5.0
36 - 40,female,Academia,Business,"Narayanganj,261",Unmarried,not married,I am not married,0.33,1.0,0.33,0.33,3.0
20 - 25,prefer not to disclose,Engineering and IT,Engineering,"Chuadanga,39",Married,Spouce does not work,Business,1.0,0.66,0.66,0.33,4.0
20 - 25,prefer not to disclose,Engineering and IT,Engineering,"Chuadanga,39",Married,Spouce does not work,Business,1.0,0.66,1.0,1.0,5.0
20 - 25,prefer not to disclose,Engineering and IT,Engineering,"Chuadanga,39",Married,Spouce does not work,Business,0.33,0.66,0.33,0.66,3.0
20 - 25,prefer not to disclose,Student,Science,"Madaripur,277",Unmarried,not married,I am not married,0.33,1.0,1.0,0.66,5.0
20 - 25,prefer not to disclose,Student,Science,"Madaripur,277",Unmarried,not married,I am not married,0.66,1.0,0.33,0.66,4.0
20 - 25,prefer not to disclose,Student,Science,"Madaripur,277",Unmarried,not married,I am not married,0.66,0.66,0.66,0.33,4.0
26 - 30,female,Business,Science,"Narail,29",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,0.33,1.0,0.33,5.0
26 - 30,female,Business,Science,"Narail,29",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,1.0,0.66,0.66,5.0
26 - 30,female,Business,Science,"Narail,29",Married,Spouce does not work,"Medical, Biological, Chemical",0.66,0.33,1.0,0.66,5.0
20 - 25,male,Engineering and IT,Engineering,"Habiganj,165",Unmarried,not married,I am not married,0.33,0.66,0.66,1.0,4.0
20 - 25,male,Engineering and IT,Engineering,"Habiganj,165",Unmarried,not married,I am not married,0.33,0.66,0.33,1.0,3.0
20 - 25,male,Engineering and IT,Engineering,"Habiganj,165",Unmarried,not married,I am not married,1.0,0.66,1.0,0.33,5.0
41 or above,female,Student,Science,"Gaibandha,435",Married,No,"Medical, Biological, Chemical",0.66,0.33,0.33,0.33,3.0
41 or above,female,Student,Science,"Gaibandha,435",Married,No,"Medical, Biological, Chemical",1.0,1.0,1.0,0.66,5.0
41 or above,female,Student,Science,"Gaibandha,435",Married,No,"Medical, Biological, Chemical",0.33,0.33,0.33,0.66,3.0
31 - 35,male,Student,Social,"Barisal,82",Married,Yes,Other,1.0,1.0,0.33,1.0,5.0
31 - 35,male,Student,Social,"Barisal,82",Married,Yes,Other,0.66,1.0,0.33,1.0,5.0
31 - 35,male,Student,Social,"Barisal,82",Married,Yes,Other,0.33,0.66,1.0,0.33,4.0
36 - 40,male,Engineering and IT,Engineering,"Gaibandha,54",Unmarried,not married,I am not married,1.0,0.33,0.66,0.66,4.0
36 - 40,male,Engineering and IT,Engineering,"Gaibandha,54",Unmarried,not married,I am not married,0.66,0.66,0.33,0.66,3.0
36 - 40,male,Engineering and IT,Engineering,"Gaibandha,54",Unmarried,not married,I am not married,0.33,0.33,0.33,0.33,3.0
20 - 25,female,Business,Science,"Jessore,269",Married,Yes,Social,0.33,1.0,0.33,0.66,3.0
20 - 25,female,Business,Science,"Jessore,269",Married,Yes,Social,0.33,0.66,0.33,1.0,4.0
20 - 25,female,Business,Science,"Jessore,269",Married,Yes,Social,1.0,0.33,1.0,0.66,5.0
41 or above,prefer not to disclose,Other,Science,"Kurigram,112",Married,Yes,Science,0.66,0.66,1.0,0.33,4.0
41 or above,prefer not to disclose,Other,Science,"Kurigram,112",Married,Yes,Science,0.66,1.0,0.33,0.66,4.0
41 or above,prefer not to disclose,Other,Science,"Kurigram,112",Married,Yes,Science,0.33,1.0,0.33,0.66,3.0
31 - 35,female,Medical,"Medical, Biological, Chemical","Gazipur,365",Married,Spouce does not work,Business,0.66,0.33,0.33,0.66,3.0
31 - 35,female,Medical,"Medical, Biological, Chemical","Gazipur,365",Married,Spouce does not work,Business,0.33,1.0,0.66,1.0,4.0
31 - 35,female,Medical,"Medical, Biological, Chemical","Gazipur,365",Married,Spouce does not work,Business,1.0,0.33,1.0,0.66,5.0
36 - 40,male,Academia,Science,"Noakhali,195",Unmarried,not married,I am not married,1.0,1.0,0.66,0.66,5.0
36 - 40,male,Academia,Science,"Noakhali,195",Unmarried,not married,I am not married,0.66,1.0,0.66,0.66,4.0
36 - 40,male,Academia,Science,"Noakhali,195",Unmarried,not married,I am not married,0.66,0.33,0.66,0.33,3.0
26 - 30,female,Engineering and IT,Engineering,"Bandarban,423",Unmarried,not married,I am not married,0.66,0.66,1.0,1.0,5.0
26 - 30,female,Engineering and IT,Engineering,"Bandarban,423",Unmarried,not married,I am not married,0.66,0.66,0.33,0.66,3.0
26 - 30,female,Engineering and IT,Engineering,"Bandarban,423",Unmarried,not married,I am not married,0.66,0.33,1.0,1.0,4.0
20 - 25,prefer not to disclose,Business,Science,"Chittagong,21",Unmarried,not married,I am not married,0.33,1.0,0.33,0.66,4.0
20 - 25,prefer not to disclose,Business,Science,"Chittagong,21",Unmarried,not married,I am not married,1.0,1.0,1.0,0.66,5.0
20 - 25,prefer not to disclose,Business,Science,"Chittagong,21",Unmarried,not married,I am not married,1.0,0.66,1.0,0.66,5.0
20 - 25,male,Engineering and IT,Engineering,"Narail,405",Unmarried,not married,I am not married,0.33,0.66,1.0,1.0,5.0
20 - 25,male,Engineering and IT,Engineering,"Narail,405",Unmarried,not married,I am not married,0.33,1.0,0.33,0.33,3.0
20 - 25,male,Engineering and IT,Engineering,"Narail,405",Unmarried,not married,I am not married,0.66,0.66,1.0,0.66,5.0
31 - 35,male,Medical,"Medical, Biological, Chemical","Kushtia,437",Unmarried,not married,I am not married,1.0,0.66,0.66,0.33,4.0
31 - 35,male,Medical,"Medical, Biological, Chemical","Kushtia,437",Unmarried,not married,I am not married,0.33,0.33,0.33,1.0,3.0
31 - 35,male,Medical,"Medical, Biological, Chemical","Kushtia,437",Unmarried,not married,I am not married,0.66,0.66,0.33,0.66,3.0
26 - 30,prefer not to disclose,Student,Business,"Naogaon,9",Married,Spouce does not work,Business,0.33,0.66,0.33,0.33,3.0
26 - 30,prefer not to disclose,Student,Business,"Naogaon,9",Married,Spouce does not work,Business,0.66,1.0,0.66,0.33,4.0
26 - 30,prefer not to disclose,Student,Business,"Naogaon,9",Married,Spouce does not work,Business,0.33,0.33,1.0,1.0,4.0
26 - 30,male,Business,Science,"Rajshahi,425",Unmarried,not married,I am not married,1.0,0.33,0.33,1.0,3.0
26 - 30,male,Business,Science,"Rajshahi,425",Unmarried,not married,I am not married,0.66,0.33,0.33,0.33,2.0
26 - 30,male,Business,Science,"Rajshahi,425",Unmarried,not married,I am not married,1.0,0.66,1.0,0.66,5.0
31 - 35,prefer not to disclose,Student,Business,"Satkhira,328",Unmarried,not married,I am not married,1.0,1.0,0.66,0.33,5.0
31 - 35,prefer not to disclose,Student,Business,"Satkhira,328",Unmarried,not married,I am not married,0.66,0.66,0.33,0.66,3.0
31 - 35,prefer not to disclose,Student,Business,"Satkhira,328",Unmarried,not married,I am not married,0.33,0.66,1.0,1.0,4.0
31 - 35,female,Other,Business,"Manikganj,469",Married,No,Other,0.66,0.33,0.66,0.33,4.0
31 - 35,female,Other,Business,"Manikganj,469",Married,No,Other,0.33,0.66,1.0,1.0,5.0
31 - 35,female,Other,Business,"Manikganj,469",Married,No,Other,1.0,1.0,0.33,0.33,4.0
36 - 40,male,Other,Business,"Magura,408",Unmarried,not married,I am not married,0.66,1.0,0.33,0.66,4.0
36 - 40,male,Other,Business,"Magura,408",Unmarried,not married,I am not married,1.0,1.0,0.66,0.33,5.0
36 - 40,male,Other,Business,"Magura,408",Unmarried,not married,I am not married,0.66,0.66,0.66,0.33,4.0
41 or above,female,Engineering and IT,Engineering,"Bhola,92",Married,Spouce does not work,"Medical, Biological, Chemical",0.66,0.33,0.66,0.33,4.0
41 or above,female,Engineering and IT,Engineering,"Bhola,92",Married,Spouce does not work,"Medical, Biological, Chemical",0.33,0.66,0.33,1.0,4.0
41 or above,female,Engineering and IT,Engineering,"Bhola,92",Married,Spouce does not work,"Medical, Biological, Chemical",0.66,0.66,0.66,1.0,4.0
31 - 35,female,Academia,Science,"Satkhira,230",Unmarried,not married,I am not married,0.33,0.66,1.0,0.33,4.0
31 - 35,female,Academia,Science,"Satkhira,230",Unmarried,not married,I am not married,0.33,1.0,0.66,0.33,4.0
31 - 35,female,Academia,Science,"Satkhira,230",Unmarried,not married,I am not married,0.33,0.33,0.33,0.66,2.0
36 - 40,prefer not to disclose,Business,Social,"Meherpur,351",Married,Yes,Engineering,0.66,0.66,0.66,0.33,3.0
36 - 40,prefer not to disclose,Business,Social,"Meherpur,351",Married,Yes,Engineering,0.66,1.0,0.33,0.66,4.0
36 - 40,prefer not to disclose,Business,Social,"Meherpur,351",Married,Yes,Engineering,0.66,0.66,0.33,1.0,4.0
36 - 40,male,Other,Science,"Patuakhali,224",Married,Yes,Engineering,0.33,0.33,0.66,0.33,3.0
36 - 40,male,Other,Science,"Patuakhali,224",Married,Yes,Engineering,0.66,1.0,1.0,1.0,5.0
36 - 40,male,Other,Science,"Patuakhali,224",Married,Yes,Engineering,0.33,1.0,0.33,1.0,4.0
41 or above,prefer not to disclose,Other,Social,"Natore,14",Unmarried,not married,I am not married,0.33,1.0,1.0,0.66,5.0
41 or above,prefer not to disclose,Other,Social,"Natore,14",Unmarried,not married,I am not married,1.0,0.33,0.33,0.33,3.0
41 or above,prefer not to disclose,Other,Social,"Natore,14",Unmarried,not married,I am not married,1.0,0.66,0.33,0.66,4.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Khulna,30",Married,No,"Medical, Biological, Chemical",0.66,1.0,1.0,0.66,5.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Khulna,30",Married,No,"Medical, Biological, Chemical",1.0,1.0,0.66,0.33,4.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Khulna,30",Married,No,"Medical, Biological, Chemical",0.66,0.33,0.33,0.33,3.0
26 - 30,male,Other,Science,"Patuakhali,217",Unmarried,not married,I am not married,0.33,0.33,0.33,1.0,2.0
26 - 30,male,Other,Science,"Patuakhali,217",Unmarried,not married,I am not married,1.0,0.33,1.0,0.66,5.0
26 - 30,male,Other,Science,"Patuakhali,217",Unmarried,not married,I am not married,1.0,0.66,1.0,1.0,5.0
41 or above,female,Other,Business,"Naogaon,123",Unmarried,not married,I am not married,0.33,1.0,0.33,1.0,4.0
41 or above,female,Other,Business,"Naogaon,123",Unmarried,not married,I am not married,0.66,0.33,0.66,1.0,4.0
41 or above,female,Other,Business,"Naogaon,123",Unmarried,not married,I am not married,0.33,0.33,0.33,1.0,2.0
41 or above,prefer not to disclose,Academia,Social,"Bagerhat,343",Unmarried,not married,I am not married,1.0,1.0,0.33,0.33,4.0
41 or above,prefer not to disclose,Academia,Social,"Bagerhat,343",Unmarried,not married,I am not married,0.33,0.66,0.33,0.33,3.0
41 or above,prefer not to disclose,Academia,Social,"Bagerhat,343",Unmarried,not married,I am not married,0.66,0.66,0.66,1.0,4.0
20 - 25,male,Engineering and IT,Engineering,"Gazipur,422",Married,Spouce does not work,Science,0.33,0.33,1.0,0.66,4.0
20 - 25,male,Engineering and IT,Engineering,"Gazipur,422",Married,Spouce does not work,Science,1.0,1.0,0.66,0.33,4.0
20 - 25,male,Engineering and IT,Engineering,"Gazipur,422",Married,Spouce does not work,Science,1.0,0.66,0.33,0.66,4.0
20 - 25,male,Other,Social,"Magura,156",Married,Spouce does not work,Social,1.0,0.33,0.33,0.33,3.0
20 - 25,male,Other,Social,"Magura,156",Married,Spouce does not work,Social,0.33,0.66,0.33,1.0,4.0
20 - 25,male,Other,Social,"Magura,156",Married,Spouce does not work,Social,0.66,0.66,1.0,0.33,4.0
36 - 40,prefer not to disclose,Engineering and IT,Engineering,"Bagerhat,439",Unmarried,not married,I am not married,0.66,0.33,0.33,0.33,3.0
36 - 40,prefer not to disclose,Engineering and IT,Engineering,"Bagerhat,439",Unmarried,not married,I am not married,0.33,0.66,0.66,0.33,4.0
36 - 40,prefer not to disclose,Engineering and IT,Engineering,"Bagerhat,439",Unmarried,not married,I am not married,0.33,0.66,0.66,1.0,4.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Magura,84",Unmarried,not married,I am not married,0.33,0.66,0.33,0.33,3.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Magura,84",Unmarried,not married,I am not married,0.66,0.66,0.33,0.66,3.0
26 - 30,male,Medical,"Medical, Biological, Chemical","Magura,84",Unmarried,not married,I am not married,0.66,1.0,1.0,0.66,5.0
31 - 35,female,Business,Science,"Meherpur,402",Unmarried,not married,I am not married,1.0,1.0,0.66,0.33,5.0
